Bill,Bill Type,Bill Num,Session,Bill Status,Money Given in Favor of Bill,Money Given in against the Bill,Bill Title,Bill URL
893574,hr,1,112,PASSED,8389852,34342891,"Disaster Relief Appropriations Act, 2013",http://maplight.org/us-congress/bill/112-hr-1/893574/total-contributions
893628,hr,1,112,PASSED,157670,1008319,"Disaster Relief Appropriations Act, 2013",http://maplight.org/us-congress/bill/112-hr-1/893628/total-contributions
893407,hr,1,112,NOT PASSED,0,1768319,"Disaster Relief Appropriations Act, 2013",http://maplight.org/us-congress/bill/112-hr-1/893407/total-contributions
888074,hr,2,112,PASSED,37002828,41125275,Repealing the Job-Killing Health Care Law Act,http://maplight.org/us-congress/bill/112-hr-2/888074/total-contributions
1022200,hjres,2,112,NOT PASSED,8865215,4210652,,http://maplight.org/us-congress/bill/112-hjres-2/1022200/total-contributions
886997,hr,2,112,PASSED,37002828,41125275,Repealing the Job-Killing Health Care Law Act,http://maplight.org/us-congress/bill/112-hr-2/886997/total-contributions
948997,hr,3,112,PASSED,9241158,19735336,No Taxpayer Funding for Abortion Act,http://maplight.org/us-congress/bill/112-hr-3/948997/total-contributions
888417,hr,3,112,PASSED,9241158,19735336,No Taxpayer Funding for Abortion Act,http://maplight.org/us-congress/bill/112-hr-3/888417/total-contributions
939526,hr,4,112,PASSED,66569056,0,Comprehensive 1099 Taxpayer Protection and Repayment of Exchange Subsidy Overpayments Act of 2011,http://maplight.org/us-congress/bill/112-hr-4/939526/total-contributions
897205,hr,4,112,PASSED,72183819,0,Comprehensive 1099 Taxpayer Protection and Repayment of Exchange Subsidy Overpayments Act of 2011,http://maplight.org/us-congress/bill/112-hr-4/897205/total-contributions
1049421,hr,5,112,PASSED,52657901,2797686,Protecting Access to Healthcare Act,http://maplight.org/us-congress/bill/112-hr-5/1049421/total-contributions
1021292,sjres,6,112,NOT PASSED,13985213,19083691,,http://maplight.org/us-congress/bill/112-sjres-6/1021292/total-contributions
892456,sjres,6,112,UNOPPOSED,13773026,19047491,,http://maplight.org/us-congress/bill/112-sjres-6/892456/total-contributions
1031227,hr,7,112,UNOPPOSED,47753187,31723438,,http://maplight.org/us-congress/bill/112-hr-7/1031227/total-contributions
1086888,hr,8,112,PASSED,9739820,21932748,American Taxpayer Relief Act of 2012,http://maplight.org/us-congress/bill/112-hr-8/1086888/total-contributions
1108829,hr,8,112,PASSED,26346770,19210354,American Taxpayer Relief Act of 2012,http://maplight.org/us-congress/bill/112-hr-8/1108829/total-contributions
1087517,hr,8,112,PASSED,9616358,36474541,American Taxpayer Relief Act of 2012,http://maplight.org/us-congress/bill/112-hr-8/1087517/total-contributions
1108992,hr,8,112,PASSED,9739820,21932748,American Taxpayer Relief Act of 2012,http://maplight.org/us-congress/bill/112-hr-8/1108992/total-contributions
